Date,Adj Close,Close,High,Low,Open,Volume,Body,Range,Upper_Wick,Lower_Wick,Body_Ratio,Upper_Wick_Ratio,Lower_Wick_Ratio,PivotHigh,PivotLow,HH,HL,LH,LL,Structure,Trend,Market_Control,EMA50,EMA200,HTF_Bias,Hammer,Inverted_Hammer,Doji,Bullish_Engulfing,Bearish_Engulfing,Shooting_Star,Morning_Star,Evening_Star,Previous_Trend,Trend_Reversal,Pattern_Context,Reversal_Confirmed
2020-01-15,678.56,696.65,703.99,694.09,702.14,15817859,5.49,9.9,1.85,2.56,0.5545,0.1869,0.2586,,,False,False,False,False,,Sideways,Neutral,693.33,691.05,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-16,684.82,703.08,705.57,698.55,699.01,12847975,4.07,7.02,2.49,0.46,0.5798,0.3547,0.0655,,,False,False,False,False,,Sideways,Neutral,693.71,691.17,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-17,704.01,722.78,724.59,710.07,710.21,29463471,12.57,14.52,1.81,0.14,0.8657,0.1247,0.0096,,,False,False,False,False,,Sideways,Neutral,694.85,691.48,Bullish,0,0,0,0,0,0,1,0,Sideways,No Reversal,No Context,No
2020-01-20,682.35,700.54,735.58,697.82,735.58,32545850,35.04,37.76,0.0,2.72,0.928,0.0,0.072,735.58,,False,False,False,False,,Sideways,Neutral,695.07,691.57,Bullish,0,0,0,0,1,0,0,0,Sideways,No Reversal,No Context,No
2020-01-21,683.04,701.25,706.71,695.81,698.82,18922720,2.43,10.9,5.46,3.01,0.2229,0.5009,0.2761,,,False,False,False,False,,Sideways,Neutral,695.31,691.67,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-22,682.79,701.0,707.12,699.97,705.86,10322817,4.86,7.15,1.26,1.03,0.6797,0.1762,0.1441,,,False,False,False,False,,Sideways,Neutral,695.54,691.76,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-23,679.9,698.02,704.93,695.21,702.44,11247739,4.42,9.72,2.49,2.81,0.4547,0.2562,0.2891,,,False,False,False,False,,Sideways,Neutral,695.63,691.83,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-24,677.54,695.6,702.37,694.23,698.09,14628445,2.49,8.14,4.28,1.37,0.3059,0.5258,0.1683,,,False,False,False,False,,Sideways,Neutral,695.63,691.86,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-27,670.86,688.74,696.93,688.04,692.56,13387750,3.82,8.89,4.37,0.7,0.4297,0.4916,0.0787,,,False,False,False,False,,Sideways,Neutral,695.36,691.83,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-28,655.36,672.83,690.32,669.11,689.68,24532236,16.85,21.21,0.64,3.72,0.7944,0.0302,0.1754,,,False,False,False,False,,Sideways,Neutral,694.48,691.64,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-29,658.97,676.54,683.19,669.31,673.89,24746565,2.65,13.88,6.65,4.58,0.1909,0.4791,0.33,,,False,False,False,False,,Sideways,Neutral,693.78,691.49,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-30,642.89,660.03,676.47,658.32,676.15,22402689,16.12,18.15,0.32,1.71,0.8882,0.0176,0.0942,,,False,False,False,False,,Sideways,Neutral,692.45,691.18,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-31,628.6,645.36,664.38,643.32,664.26,34750310,18.9,21.06,0.12,2.04,0.8974,0.0057,0.0969,,,False,False,False,False,,Sideways,Neutral,690.61,690.72,Bearish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-02-03,616.96,633.4,640.01,623.14,626.27,30712290,7.13,16.87,6.61,3.13,0.4226,0.3918,0.1855,,623.14,False,False,False,False,,Sideways,Neutral,688.36,690.15,Bearish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-02-04,635.17,652.1,654.89,639.03,640.03,25383901,12.07,15.86,2.79,1.0,0.761,0.1759,0.0631,,,False,False,False,False,,Sideways,Neutral,686.94,689.77,Bearish,0,0,0,0,0,0,1,0,Sideways,No Reversal,No Context,No
2020-02-05,645.01,662.21,664.17,653.89,655.99,18472100,6.22,10.28,1.96,2.1,0.6051,0.1907,0.2043,,,False,False,False,False,,Sideways,Neutral,685.97,689.5,Bearish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-02-06,649.15,666.46,670.66,658.37,664.77,15538577,1.69,12.29,4.2,6.4,0.1375,0.3417,0.5207,,,False,False,False,False,,Sideways,Neutral,685.21,689.27,Bearish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-02-07,638.4,655.42,663.97,652.97,663.35,12209212,7.93,11.0,0.62,2.45,0.7209,0.0564,0.2227,,,False,False,False,False,,Sideways,Neutral,684.04,688.93,Bearish,0,0,0,0,0,0,0,1,Sideways,No Reversal,No Context,No
2020-02-10,639.26,656.31,660.83,644.81,652.83,15142476,3.48,16.02,4.52,8.02,0.2172,0.2821,0.5006,,,False,False,False,False,,Sideways,Neutral,682.95,688.61,Bearish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-02-11,646.9,664.15,670.3,660.63,661.7,13999816,2.45,9.67,6.15,1.07,0.2534,0.636,0.1107,,,False,False,False,False,,Sideways,Neutral,682.21,688.37,Bearish,0,1,0,0,0,1,1,0,Sideways,No Reversal,No Context,No
2020-02-12,654.72,672.17,674.25,665.18,665.7,13533565,6.47,9.07,2.08,0.52,0.7133,0.2293,0.0573,,,False,False,False,False,,Sideways,Neutral,681.82,688.2,Bearish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-02-13,656.43,673.93,675.58,668.65,675.58,13565659,1.65,6.93,0.0,5.28,0.2381,0.0,0.7619,,,False,False,False,False,,Sideways,Neutral,681.51,688.06,Bearish,1,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-02-14,662.42,680.08,686.41,664.31,675.35,21227841,4.73,22.1,6.33,11.04,0.214,0.2864,0.4995,,,False,False,False,False,,Sideways,Neutral,681.45,687.98,Bearish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-02-17,658.26,675.81,688.56,674.0,680.72,13149130,4.91,14.56,7.84,1.81,0.3372,0.5385,0.1243,,,False,False,False,False,,Sideways,Neutral,681.23,687.86,Bearish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-02-18,653.42,670.85,674.73,666.27,674.73,11127161,3.88,8.46,0.0,4.58,0.4586,0.0,0.5414,,,False,False,False,False,,Sideways,Neutral,680.82,687.69,Bearish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-02-19,669.63,687.49,688.7,674.37,676.31,14084409,11.18,14.33,1.21,1.94,0.7802,0.0844,0.1354,,,False,False,False,False,,Sideways,Neutral,681.09,687.69,Bearish,0,0,0,0,0,0,1,0,Sideways,No Reversal,No Context,No
2020-02-20,661.68,679.33,689.41,678.34,684.38,16892268,5.05,11.07,5.03,0.99,0.4562,0.4544,0.0894,689.41,,False,False,True,False,LH,Downtrend,Sellers,681.02,687.61,Bearish,0,0,0,0,0,0,0,0,Sideways,Bearish Breakdown,No Context,No
2020-02-24,643.43,660.58,675.23,658.11,671.92,21370214,11.34,17.12,3.31,2.47,0.6624,0.1933,0.1443,,,False,False,False,False,,Downtrend,Sellers,680.22,687.34,Bearish,0,0,0,0,0,0,0,1,Downtrend,No Reversal,No Context,No
2020-02-25,630.71,647.53,663.53,644.6,663.53,27745062,16.0,18.93,0.0,2.93,0.8452,0.0,0.1548,,,False,False,False,False,,Downtrend,Sellers,678.93,686.94,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-02-26,619.85,636.38,645.68,634.25,644.6,29362748,8.22,11.43,1.08,2.13,0.7192,0.0945,0.1864,,,False,False,False,False,,Downtrend,Sellers,677.27,686.44,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-02-27,617.29,633.75,637.2,625.86,634.55,25054993,0.8,11.34,2.65,7.89,0.0705,0.2337,0.6958,,,False,False,False,False,,Downtrend,Sellers,675.56,685.92,Bearish,0,0,1,0,0,0,0,0,Downtrend,No Reversal,Market Indecision,No
2020-02-28,591.64,607.41,620.37,605.75,619.41,39315769,12.0,14.62,0.96,1.66,0.8208,0.0657,0.1135,,,False,False,False,False,,Downtrend,Sellers,672.89,685.13,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-03-02,586.07,601.7,625.86,594.82,619.51,29500495,17.81,31.04,6.35,6.88,0.5738,0.2046,0.2216,,,False,False,False,False,,Downtrend,Sellers,670.09,684.3,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-03-03,597.96,613.91,618.96,604.37,607.89,27398798,6.02,14.59,5.05,3.52,0.4126,0.3461,0.2413,,,False,False,False,False,,Downtrend,Sellers,667.89,683.6,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-03-04,596.56,612.47,618.91,597.93,618.09,22105261,5.62,20.98,0.82,14.54,0.2679,0.0391,0.693,,,False,False,False,False,,Downtrend,Sellers,665.72,682.9,Bearish,1,0,0,0,0,0,0,0,Downtrend,No Reversal,Bullish Pattern in Downtrend,No
2020-03-05,583.85,599.41,620.81,597.06,618.18,30510390,18.77,23.75,2.63,2.35,0.7903,0.1107,0.0989,,,False,False,False,False,,Downtrend,Sellers,663.12,682.07,Bearish,0,0,0,0,0,0,0,1,Downtrend,No Reversal,No Context,No
2020-03-06,565.97,581.06,588.9,567.39,580.6,33734039,0.46,21.51,7.84,13.21,0.0214,0.3645,0.6141,,,False,False,False,False,,Downtrend,Sellers,659.9,681.06,Bearish,0,0,1,0,0,0,0,0,Downtrend,No Reversal,Market Indecision,No
2020-03-09,496.12,509.35,567.34,500.6,566.91,88187018,57.56,66.74,0.43,8.75,0.8625,0.0064,0.1311,,,False,False,False,False,,Downtrend,Sellers,654.0,679.35,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-03-11,513.67,527.36,538.75,506.54,506.54,59578576,20.82,32.21,11.39,0.0,0.6464,0.3536,0.0,,,False,False,False,False,,Downtrend,Sellers,649.03,677.84,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-03-12,473.35,485.97,503.34,479.43,496.03,55970485,10.06,23.91,7.31,6.54,0.4207,0.3057,0.2735,,,False,False,False,False,,Downtrend,Sellers,642.64,675.93,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-03-13,492.18,505.31,521.17,430.83,456.25,73297403,49.06,90.34,15.86,25.42,0.5431,0.1756,0.2814,,,False,False,False,False,,Downtrend,Sellers,637.25,674.23,Bearish,0,0,0,1,0,0,0,0,Downtrend,No Reversal,Bullish Pattern in Downtrend,No
2020-03-16,452.29,464.34,493.6,459.45,484.85,38482258,20.51,34.15,8.75,4.89,0.6006,0.2562,0.1432,,,False,False,False,False,,Downtrend,Sellers,630.47,672.14,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-03-17,448.86,460.82,484.6,458.63,478.77,45445979,17.95,25.97,5.83,2.19,0.6912,0.2245,0.0843,,,False,False,False,False,,Downtrend,Sellers,623.82,670.04,Bearish,0,0,0,0,0,0,0,1,Downtrend,No Reversal,No Context,No
2020-03-18,431.27,442.77,473.58,439.34,468.73,44730415,25.96,34.24,4.85,3.43,0.7582,0.1416,0.1002,,,False,False,False,False,,Downtrend,Sellers,616.72,667.78,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-03-19,408.65,419.54,442.08,407.88,420.64,61404010,1.1,34.2,21.44,11.66,0.0322,0.6269,0.3409,,,False,False,False,False,,Downtrend,Sellers,608.98,665.31,Bearish,0,0,1,0,0,0,0,0,Downtrend,No Reversal,Market Indecision,No
2020-03-20,453.29,465.37,473.12,425.16,429.51,63360475,35.86,47.96,7.75,4.35,0.7477,0.1616,0.0907,,,False,False,False,False,,Downtrend,Sellers,603.35,663.32,Bearish,0,0,0,0,0,0,1,0,Downtrend,No Reversal,Bullish Pattern in Downtrend,No
2020-03-23,393.66,404.16,434.31,400.32,418.86,40670949,14.7,33.99,15.45,3.84,0.4325,0.4545,0.113,,400.32,False,False,False,True,LL,Downtrend,Sellers,595.54,660.74,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-03-24,420.09,431.29,443.45,409.53,425.16,45734887,6.13,33.92,12.16,15.63,0.1807,0.3585,0.4608,,,False,False,False,False,,Downtrend,Sellers,589.1,658.46,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-03-25,481.92,494.77,526.45,440.37,440.62,73130298,54.15,86.08,31.68,0.25,0.6291,0.368,0.0029,526.45,,False,False,True,False,LH,Downtrend,Sellers,585.4,656.83,Bearish,0,0,0,0,0,0,1,0,Downtrend,No Reversal,Bullish Pattern in Downtrend,No
2020-03-26,474.77,487.43,510.61,476.53,500.96,45744488,13.53,34.08,9.65,10.9,0.397,0.2832,0.3198,,,False,False,False,False,,Downtrend,Sellers,581.56,655.14,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-03-27,474.51,487.16,506.22,478.29,500.6,41657940,13.44,27.93,5.62,8.87,0.4812,0.2012,0.3176,,,False,False,False,False,,Downtrend,Sellers,577.86,653.47,Bearish,0,0,0,0,0,0,0,1,Downtrend,No Reversal,No Context,No
2020-03-30,458.85,471.09,491.36,466.31,475.73,30229866,4.64,25.05,15.63,4.78,0.1852,0.624,0.1908,,,False,False,False,False,,Downtrend,Sellers,573.67,651.66,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-03-31,495.95,509.17,516.51,479.11,490.97,44292810,18.2,37.4,7.34,11.86,0.4866,0.1963,0.3171,,,False,False,False,False,,Downtrend,Sellers,571.14,650.24,Bearish,0,0,0,0,0,0,1,0,Downtrend,No Reversal,Bullish Pattern in Downtrend,No
2020-04-01,481.12,493.95,514.13,477.83,513.05,41597459,19.1,36.3,1.08,16.12,0.5262,0.0298,0.4441,,,False,False,False,False,,Downtrend,Sellers,568.11,648.68,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-04-03,479.78,492.57,518.63,482.9,518.63,41367807,26.06,35.73,0.0,9.67,0.7294,0.0,0.2706,,,False,False,False,False,,Downtrend,Sellers,565.15,647.13,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-04-07,537.07,551.39,555.0,502.88,503.84,54373624,47.55,52.12,3.61,0.96,0.9123,0.0693,0.0184,,,False,False,False,False,,Downtrend,Sellers,564.61,646.18,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-04-08,530.86,545.01,561.86,530.31,539.46,49880330,5.55,31.55,16.85,9.15,0.1759,0.5341,0.29,,,False,False,False,False,,Downtrend,Sellers,563.84,645.17,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-04-09,543.24,557.72,563.59,545.4,555.0,33032857,2.72,18.19,5.87,9.6,0.1495,0.3227,0.5278,,,False,False,False,False,,Downtrend,Sellers,563.6,644.3,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-04-13,529.52,543.64,555.46,539.46,550.41,23673784,6.77,16.0,5.05,4.18,0.4231,0.3156,0.2612,,,False,False,False,False,,Downtrend,Sellers,562.82,643.3,Bearish,0,0,0,0,0,0,0,1,Downtrend,No Reversal,No Context,No
2020-04-15,512.02,525.67,565.06,522.54,547.25,35321842,21.58,42.52,17.81,3.13,0.5075,0.4189,0.0736,,,False,False,False,False,,Downtrend,Sellers,561.36,642.13,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-04-16,520.13,533.99,542.86,523.46,525.67,37455706,8.32,19.4,8.87,2.21,0.4289,0.4572,0.1139,,,False,False,False,False,,Downtrend,Sellers,560.29,641.05,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-04-17,545.04,559.57,562.31,545.24,555.91,33269335,3.66,17.07,2.74,10.67,0.2144,0.1605,0.6251,,,False,False,False,False,,Downtrend,Sellers,560.26,640.24,Bearish,1,0,0,0,0,0,1,0,Downtrend,No Reversal,Bullish Pattern in Downtrend,No
2020-04-20,553.86,568.62,574.66,549.51,560.49,36030932,8.13,25.15,6.04,10.98,0.3233,0.2402,0.4366,,,False,False,False,False,,Downtrend,Sellers,560.59,639.53,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-04-21,550.98,565.67,572.37,532.14,553.17,61371628,12.5,40.23,6.7,21.03,0.3107,0.1665,0.5227,,,False,False,False,False,,Downtrend,Sellers,560.79,638.8,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-04-22,607.2,623.39,633.13,594.32,603.46,142683366,19.93,38.81,9.74,9.14,0.5135,0.251,0.2355,,,False,False,False,False,,Downtrend,Sellers,563.24,638.64,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-04-23,610.45,626.73,633.56,618.68,625.11,65464502,1.62,14.88,6.83,6.43,0.1089,0.459,0.4321,,,False,False,False,False,,Downtrend,Sellers,565.73,638.52,Bearish,0,0,0,0,0,0,0,0,Downtrend,No Reversal,No Context,No
2020-04-24,630.98,647.8,683.44,615.89,617.24,134986308,30.56,67.55,35.64,1.35,0.4524,0.5276,0.02,683.44,,True,False,False,False,HH,Uptrend,Buyers,568.95,638.62,Bearish,0,0,0,0,0,0,0,0,Downtrend,Bullish Reversal,No Context,No
2020-04-27,636.66,653.63,674.32,650.55,655.58,58482901,1.95,23.77,18.74,3.08,0.082,0.7884,0.1296,,,False,False,False,False,,Uptrend,Buyers,572.27,638.77,Bearish,0,0,1,0,0,0,0,0,Uptrend,No Reversal,Market Indecision,No
2020-04-28,635.95,652.9,665.38,636.44,662.89,78453401,9.99,28.94,2.49,16.46,0.3452,0.086,0.5688,,,False,False,False,False,,Uptrend,Buyers,575.43,638.91,Bearish,0,0,0,0,0,0,0,1,Uptrend,No Reversal,Bearish Pattern in Uptrend,No
2020-04-29,635.41,652.35,664.56,649.18,660.56,37494672,8.21,15.38,4.0,3.17,0.5338,0.2601,0.2061,,,False,False,False,False,,Uptrend,Buyers,578.45,639.04,Bearish,0,0,0,0,0,0,0,0,Uptrend,No Reversal,No Context,No
2020-04-30,652.8,670.21,683.44,657.43,664.7,71345899,5.51,26.01,13.23,7.27,0.2118,0.5087,0.2795,,,False,False,False,False,,Uptrend,Buyers,582.05,639.35,Bearish,0,0,0,0,0,0,1,0,Uptrend,No Reversal,No Context,No
2020-05-04,639.09,656.13,669.75,648.01,658.32,53456868,2.19,21.74,11.43,8.12,0.1007,0.5258,0.3735,,,False,False,False,False,,Uptrend,Buyers,584.95,639.52,Bearish,0,0,0,0,0,0,0,0,Uptrend,No Reversal,No Context,No
2020-05-05,650.42,667.76,676.15,661.61,664.58,44903763,3.18,14.54,8.39,2.97,0.2187,0.577,0.2043,,,False,False,False,False,,Uptrend,Buyers,588.2,639.8,Bearish,0,1,0,0,0,0,0,0,Uptrend,No Reversal,No Context,No
2020-05-06,650.46,667.81,678.87,660.83,669.29,40489094,1.48,18.04,9.58,6.98,0.082,0.531,0.3869,,,False,False,False,False,,Uptrend,Buyers,591.32,640.08,Bearish,0,0,1,0,0,0,0,0,Uptrend,No Reversal,Market Indecision,No
2020-05-07,671.04,688.93,691.99,660.61,665.18,50026966,23.75,31.38,3.06,4.57,0.7569,0.0975,0.1456,,,False,False,False,False,,Uptrend,Buyers,595.15,640.56,Bearish,0,0,0,1,0,0,0,0,Uptrend,No Reversal,No Context,No
2020-05-08,695.46,714.0,722.28,702.71,706.32,84262770,7.68,19.57,8.28,3.61,0.3924,0.4231,0.1845,,,False,False,False,False,,Uptrend,Buyers,599.81,641.29,Bearish,0,0,0,0,0,0,0,0,Uptrend,No Reversal,No Context,No
2020-05-11,702.14,720.86,738.32,718.8,722.32,67085063,1.46,19.52,16.0,2.06,0.0748,0.8197,0.1055,738.32,,True,False,False,False,HH,Uptrend,Buyers,604.56,642.09,Bearish,0,0,1,0,0,0,0,1,Uptrend,No Reversal,Market Indecision,No
2020-05-12,658.7,676.26,717.0,669.75,715.37,100683202,39.11,47.25,1.63,6.51,0.8277,0.0345,0.1378,,,False,False,False,False,,Uptrend,Buyers,607.37,642.43,Bearish,0,0,0,0,0,0,0,1,Uptrend,No Reversal,Bearish Pattern in Uptrend,No
2020-05-13,672.68,690.61,704.71,671.02,704.71,66430125,14.1,33.69,0.0,19.59,0.4185,0.0,0.5815,,,False,False,False,False,,Uptrend,Buyers,610.63,642.9,Bearish,0,0,0,0,0,0,0,0,Uptrend,No Reversal,No Context,No
2020-05-14,645.48,662.69,690.73,659.97,677.94,49266771,15.25,30.76,12.79,2.72,0.4958,0.4158,0.0884,,,False,False,False,False,,Uptrend,Buyers,612.68,643.1,Bearish,0,0,0,0,0,0,0,0,Uptrend,No Reversal,No Context,No
2020-05-15,656.02,673.51,676.88,653.07,666.41,62152260,7.1,23.81,3.37,13.34,0.2982,0.1415,0.5603,,,False,False,False,False,,Uptrend,Buyers,615.06,643.4,Bearish,0,0,0,0,0,0,0,0,Uptrend,No Reversal,No Context,No
2020-05-18,647.64,664.91,683.94,659.02,678.4,62796089,13.49,24.92,5.54,5.89,0.5413,0.2223,0.2364,,,False,False,False,False,,Uptrend,Buyers,617.02,643.62,Bearish,0,0,0,0,1,0,0,0,Uptrend,No Reversal,Bearish Pattern in Uptrend,No
2020-05-19,633.32,650.21,674.57,647.6,672.41,42315854,22.2,26.97,2.16,2.61,0.8231,0.0801,0.0968,,,False,False,False,False,,Uptrend,Buyers,618.32,643.68,Bearish,0,0,0,0,0,0,0,0,Uptrend,No Reversal,No Context,No
2020-05-20,644.47,661.65,667.72,642.87,650.71,55320985,10.94,24.85,6.07,7.84,0.4402,0.2443,0.3155,,642.87,False,True,False,False,HL,Uptrend,Buyers,620.02,643.86,Bearish,0,0,0,0,0,0,0,0,Uptrend,No Reversal,No Context,No
2020-05-21,647.86,665.14,674.46,657.64,662.25,39167981,2.89,16.82,9.32,4.61,0.1718,0.5541,0.2741,,,False,False,False,False,,Uptrend,Buyers,621.79,644.07,Bearish,0,0,0,0,0,0,1,0,Uptrend,No Reversal,No Context,No
2020-05-22,643.5,660.66,672.87,658.33,670.01,37828973,9.35,14.54,2.86,2.33,0.6431,0.1967,0.1602,,,False,False,False,False,,Uptrend,Buyers,623.31,644.24,Bearish,0,0,0,0,1,0,0,1,Uptrend,No Reversal,Bearish Pattern in Uptrend,No
2020-05-26,640.13,657.2,669.04,653.62,668.32,33216635,11.12,15.42,0.72,3.58,0.7211,0.0467,0.2322,,,False,False,False,False,,Uptrend,Buyers,624.64,644.37,Bearish,0,0,0,0,0,0,0,0,Uptrend,No Reversal,No Context,No
2020-05-27,649.8,667.12,671.02,651.64,660.41,35667956,6.71,19.38,3.9,8.77,0.3462,0.2012,0.4525,,,False,False,False,False,,Uptrend,Buyers,626.31,644.59,Bearish,0,0,0,0,0,0,0,0,Uptrend,No Reversal,No Context,No
2020-05-28,661.8,679.44,682.9,668.71,671.48,40126278,7.96,14.19,3.46,2.77,0.561,0.2438,0.1952,,,False,False,False,False,,Uptrend,Buyers,628.39,644.94,Bearish,0,0,0,0,0,0,1,0,Uptrend,No Reversal,No Context,No
2020-05-29,658.27,675.82,679.33,670.4,677.48,40022527,1.66,8.93,1.85,5.42,0.1859,0.2072,0.6069,,,False,False,False,False,,Uptrend,Buyers,630.25,645.25,Bearish,0,0,0,0,0,0,0,0,Uptrend,No Reversal,No Context,No
2020-06-01,683.42,701.64,709.95,681.15,683.02,39943702,18.62,28.8,8.31,1.87,0.6465,0.2885,0.0649,,,False,False,False,False,,Uptrend,Buyers,633.05,645.81,Bearish,0,0,0,0,0,0,0,0,Uptrend,No Reversal,No Context,No
2020-06-02,690.32,708.73,710.71,701.85,704.25,22153960,4.48,8.86,1.98,2.4,0.5056,0.2235,0.2709,,,False,False,False,False,,Uptrend,Buyers,636.02,646.44,Bearish,0,0,0,0,0,0,0,0,Uptrend,No Reversal,No Context,No
